  Title : TRcurve_5mm_SDS_750nm_10secInt_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-10-11
  Time : 09:18:57
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
0.000000 0
0.006108 0
0.012215 0
0.018323 0
0.024430 0
0.030538 0
0.036646 0
0.042753 0
0.048861 0
0.054969 0
0.061076 0
0.067184 0
0.073291 0
0.079399 0
0.085507 0
0.091614 0
0.097722 0
0.103829 0
0.109937 0
0.116045 0
0.122152 0
0.128260 0
0.134368 0
0.140475 0
0.146583 0
0.152690 0
0.158798 0
0.164906 0
0.171013 0
0.177121 0
0.183228 0
0.189336 0
0.195444 0
0.201551 0
0.207659 0
0.213766 0
0.219874 0
0.225982 0
0.232089 0
0.238197 0
0.244305 0
0.250412 0
0.256520 0
0.262627 0
0.268735 0
0.274843 0
0.280950 0
0.287058 0
0.293165 0
0.299273 0
0.305381 0
0.311488 0
0.317596 0
0.323704 0
0.329811 0
0.335919 0
0.342026 0
0.348134 0
0.354242 0
0.360349 0
0.366457 0
0.372564 0
0.378672 0
0.384780 0
0.390887 0
0.396995 0
0.403103 0
0.409210 0
0.415318 0
0.421425 0
0.427533 0
0.433641 0
0.439748 0
0.445856 0
0.451963 0
0.458071 0
0.464179 0
0.470286 0
0.476394 0
0.482502 0
0.488609 0
0.494717 0
0.500824 0
0.506932 0
0.513040 0
0.519147 0
0.525255 0
0.531362 0
0.537470 0
0.543578 0
0.549685 0
0.555793 0
0.561900 0
0.568008 0
0.574116 0
0.580223 0
0.586331 0
0.592439 0
0.598546 0
0.604654 0
0.610761 0
0.616869 0
0.622977 0
0.629084 0
0.635192 0
0.641299 0
0.647407 0
0.653515 0
0.659622 0
0.665730 0
0.671838 0
0.677945 0
0.684053 0
0.690160 0
0.696268 0
0.702376 0
0.708483 0
0.714591 0
0.720698 0
0.726806 0
0.732914 0
0.739021 0
0.745129 0
0.751237 0
0.757344 0
0.763452 0
0.769559 0
0.775667 0
0.781775 0
0.787882 0
0.793990 0
0.800097 0
0.806205 0
0.812313 0
0.818420 0
0.824528 0
0.830636 0
0.836743 0
0.842851 0
0.848958 0
0.855066 0
0.861174 0
0.867281 0
0.873389 0
0.879496 0
0.885604 0
0.891712 0
0.897819 0
0.903927 0
0.910034 0
0.916142 0
0.922250 0
0.928357 0
0.934465 0
0.940573 0
0.946680 0
0.952788 0
0.958895 0
0.965003 0
0.971111 0
0.977218 0
0.983326 0
0.989433 0
0.995541 0
1.001649 0
1.007756 0
1.013864 0
1.019972 0
1.026079 0
1.032187 0
1.038294 0
1.044402 0
1.050510 0
1.056617 0
1.062725 0
1.068832 0
1.074940 0
1.081048 0
1.087155 0
1.093263 0
1.099371 0
1.105478 0
1.111586 0
1.117693 0
1.123801 0
1.129909 0
1.136016 0
1.142124 0
1.148231 0
1.154339 0
1.160447 0
1.166554 0
1.172662 25
1.178769 21
1.184877 9
1.190985 19
1.197092 19
1.203200 20
1.209308 19
1.215415 22
1.221523 20
1.227630 23
1.233738 18
1.239846 20
1.245953 13
1.252061 14
1.258168 23
1.264276 25
1.270384 11
1.276491 20
1.282599 17
1.288707 16
1.294814 18
1.300922 14
1.307029 20
1.313137 25
1.319245 27
1.325352 22
1.331460 21
1.337567 25
1.343675 17
1.349783 13
1.355890 15
1.361998 13
1.368106 11
1.374213 17
1.380321 21
1.386428 23
1.392536 25
1.398644 16
1.404751 21
1.410859 19
1.416966 18
1.423074 25
1.429182 14
1.435289 18
1.441397 20
1.447505 20
1.453612 17
1.459720 24
1.465827 26
1.471935 25
1.478043 17
1.484150 15
1.490258 20
1.496365 20
1.502473 14
1.508581 17
1.514688 19
1.520796 22
1.526903 17
1.533011 23
1.539119 29
1.545226 22
1.551334 26
1.557442 13
1.563549 14
1.569657 16
1.575764 16
1.581872 15
1.587980 21
1.594087 13
1.600195 20
1.606302 21
1.612410 24
1.618518 24
1.624625 13
1.630733 26
1.636841 27
1.642948 14
1.649056 24
1.655163 24
1.661271 21
1.667379 16
1.673486 30
1.679594 22
1.685701 35
1.691809 22
1.697917 19
1.704024 23
1.710132 24
1.716240 24
1.722347 13
1.728455 13
1.734562 23
1.740670 22
1.746778 16
1.752885 25
1.758993 22
1.765100 24
1.771208 21
1.777316 17
1.783423 22
1.789531 18
1.795639 21
1.801746 20
1.807854 15
1.813961 14
1.820069 24
1.826177 25
1.832284 24
