  Title : TRcurve_10mm_SDS_750nm_30secInt_40mlIL_concen1_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-03-31
  Time : 12:37:30
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
0.000000 0
0.006108 0
0.012215 0
0.018323 0
0.024430 0
0.030538 0
0.036646 0
0.042753 0
0.048861 0
0.054969 0
0.061076 0
0.067184 0
0.073291 0
0.079399 0
0.085507 0
0.091614 0
0.097722 0
0.103829 0
0.109937 0
0.116045 0
0.122152 0
0.128260 0
0.134368 0
0.140475 0
0.146583 0
0.152690 0
0.158798 0
0.164906 0
0.171013 0
0.177121 0
0.183228 0
0.189336 0
0.195444 0
0.201551 0
0.207659 0
0.213766 0
0.219874 0
0.225982 0
0.232089 0
0.238197 0
0.244305 0
0.250412 0
0.256520 0
0.262627 0
0.268735 0
0.274843 0
0.280950 0
0.287058 0
0.293165 0
0.299273 0
0.305381 0
0.311488 0
0.317596 0
0.323704 0
0.329811 0
0.335919 0
0.342026 0
0.348134 0
0.354242 0
0.360349 0
0.366457 0
0.372564 0
0.378672 0
0.384780 0
0.390887 0
0.396995 0
0.403103 0
0.409210 0
0.415318 0
0.421425 0
0.427533 0
0.433641 0
0.439748 0
0.445856 0
0.451963 0
0.458071 0
0.464179 0
0.470286 0
0.476394 0
0.482502 0
0.488609 0
0.494717 0
0.500824 0
0.506932 0
0.513040 0
0.519147 0
0.525255 0
0.531362 0
0.537470 0
0.543578 0
0.549685 0
0.555793 0
0.561900 0
0.568008 0
0.574116 0
0.580223 0
0.586331 0
0.592439 0
0.598546 0
0.604654 0
0.610761 0
0.616869 0
0.622977 0
0.629084 0
0.635192 0
0.641299 0
0.647407 0
0.653515 0
0.659622 0
0.665730 0
0.671838 0
0.677945 0
0.684053 0
0.690160 0
0.696268 0
0.702376 0
0.708483 0
0.714591 0
0.720698 0
0.726806 0
0.732914 0
0.739021 0
0.745129 0
0.751237 0
0.757344 0
0.763452 0
0.769559 0
0.775667 0
0.781775 0
0.787882 0
0.793990 0
0.800097 0
0.806205 0
0.812313 0
0.818420 0
0.824528 0
0.830636 0
0.836743 0
0.842851 0
0.848958 0
0.855066 0
0.861174 0
0.867281 0
0.873389 0
0.879496 0
0.885604 0
0.891712 0
0.897819 0
0.903927 0
0.910034 0
0.916142 0
0.922250 0
0.928357 0
0.934465 0
0.940573 0
0.946680 0
0.952788 0
0.958895 0
0.965003 0
0.971111 0
0.977218 0
0.983326 0
0.989433 0
0.995541 0
1.001649 0
1.007756 0
1.013864 0
1.019972 0
1.026079 0
1.032187 0
1.038294 0
1.044402 0
1.050510 0
1.056617 0
1.062725 0
1.068832 0
1.074940 0
1.081048 0
1.087155 0
1.093263 0
1.099371 0
1.105478 0
1.111586 0
1.117693 0
1.123801 0
1.129909 0
1.136016 0
1.142124 0
1.148231 0
1.154339 0
1.160447 0
1.166554 0
1.172662 29
1.178769 31
1.184877 27
1.190985 27
1.197092 31
1.203200 29
1.209308 33
1.215415 36
1.221523 28
1.227630 33
1.233738 29
1.239846 27
1.245953 32
1.252061 32
1.258168 30
1.264276 33
1.270384 35
1.276491 34
1.282599 34
1.288707 28
1.294814 34
1.300922 38
1.307029 29
1.313137 25
1.319245 27
1.325352 32
1.331460 32
1.337567 38
1.343675 26
1.349783 25
1.355890 33
1.361998 36
1.368106 27
1.374213 24
1.380321 24
1.386428 23
1.392536 39
1.398644 36
1.404751 26
1.410859 32
1.416966 37
1.423074 23
1.429182 32
1.435289 28
1.441397 22
1.447505 30
1.453612 28
1.459720 26
1.465827 27
1.471935 27
1.478043 31
1.484150 45
1.490258 30
1.496365 37
1.502473 27
1.508581 20
1.514688 27
1.520796 32
1.526903 31
1.533011 31
1.539119 33
1.545226 37
1.551334 43
1.557442 34
1.563549 26
1.569657 22
1.575764 33
1.581872 29
1.587980 25
1.594087 24
1.600195 32
1.606302 32
1.612410 22
1.618518 25
1.624625 26
1.630733 43
1.636841 24
1.642948 27
1.649056 34
1.655163 31
1.661271 34
1.667379 41
1.673486 36
1.679594 34
1.685701 33
1.691809 25
1.697917 36
1.704024 33
1.710132 25
1.716240 30
1.722347 26
1.728455 32
1.734562 31
1.740670 18
1.746778 34
1.752885 40
1.758993 40
1.765100 33
1.771208 35
1.777316 16
1.783423 26
1.789531 40
1.795639 36
1.801746 17
1.807854 24
1.813961 27
1.820069 37
1.826177 28
