  Title : TRcurve_10mm_SDS_750nm_30secInt_concen9_1
  Version : 2 972 M
  Revision : 12 bits ADC
  Date : 2019-03-31
  Time : 17:19:55
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1 Decay  ( Time[ns]  No_of_photons )
0.000000 0
0.006108 0
0.012215 0
0.018323 0
0.024430 0
0.030538 0
0.036646 0
0.042753 0
0.048861 0
0.054969 0
0.061076 0
0.067184 0
0.073291 0
0.079399 0
0.085507 0
0.091614 0
0.097722 0
0.103829 0
0.109937 0
0.116045 0
0.122152 0
0.128260 0
0.134368 0
0.140475 0
0.146583 0
0.152690 0
0.158798 0
0.164906 0
0.171013 0
0.177121 0
0.183228 0
0.189336 0
0.195444 0
0.201551 0
0.207659 0
0.213766 0
0.219874 0
0.225982 0
0.232089 0
0.238197 0
0.244305 0
0.250412 0
0.256520 0
0.262627 0
0.268735 0
0.274843 0
0.280950 0
0.287058 0
0.293165 0
0.299273 0
0.305381 0
0.311488 0
0.317596 0
0.323704 0
0.329811 0
0.335919 0
0.342026 0
0.348134 0
0.354242 0
0.360349 0
0.366457 0
0.372564 0
0.378672 0
0.384780 0
0.390887 0
0.396995 0
0.403103 0
0.409210 0
0.415318 0
0.421425 0
0.427533 0
0.433641 0
0.439748 0
0.445856 0
0.451963 0
0.458071 0
0.464179 0
0.470286 0
0.476394 0
0.482502 0
0.488609 0
0.494717 0
0.500824 0
0.506932 0
0.513040 0
0.519147 0
0.525255 0
0.531362 0
0.537470 0
0.543578 0
0.549685 0
0.555793 0
0.561900 0
0.568008 0
0.574116 0
0.580223 0
0.586331 0
0.592439 0
0.598546 0
0.604654 0
0.610761 0
0.616869 0
0.622977 0
0.629084 0
0.635192 0
0.641299 0
0.647407 0
0.653515 0
0.659622 0
0.665730 0
0.671838 0
0.677945 0
0.684053 0
0.690160 0
0.696268 0
0.702376 0
0.708483 0
0.714591 0
0.720698 0
0.726806 0
0.732914 0
0.739021 0
0.745129 0
0.751237 0
0.757344 0
0.763452 0
0.769559 0
0.775667 0
0.781775 0
0.787882 0
0.793990 0
0.800097 0
0.806205 0
0.812313 0
0.818420 0
0.824528 0
0.830636 0
0.836743 0
0.842851 0
0.848958 0
0.855066 0
0.861174 0
0.867281 0
0.873389 0
0.879496 0
0.885604 0
0.891712 0
0.897819 0
0.903927 0
0.910034 0
0.916142 0
0.922250 0
0.928357 0
0.934465 0
0.940573 0
0.946680 0
0.952788 0
0.958895 0
0.965003 0
0.971111 0
0.977218 0
0.983326 0
0.989433 0
0.995541 0
1.001649 0
1.007756 0
1.013864 0
1.019972 0
1.026079 0
1.032187 0
1.038294 0
1.044402 0
1.050510 0
1.056617 0
1.062725 0
1.068832 0
1.074940 0
1.081048 0
1.087155 0
1.093263 0
1.099371 0
1.105478 0
1.111586 0
1.117693 0
1.123801 0
1.129909 0
1.136016 0
1.142124 0
1.148231 0
1.154339 0
1.160447 0
1.166554 0
1.172662 20
1.178769 20
1.184877 23
1.190985 20
1.197092 11
1.203200 15
1.209308 15
1.215415 23
1.221523 10
1.227630 15
1.233738 19
1.239846 24
1.245953 17
1.252061 23
1.258168 19
1.264276 23
1.270384 17
1.276491 15
1.282599 14
1.288707 13
1.294814 23
1.300922 18
1.307029 9
1.313137 24
1.319245 22
1.325352 18
1.331460 22
1.337567 15
1.343675 19
1.349783 16
1.355890 13
1.361998 18
1.368106 23
1.374213 13
1.380321 20
1.386428 21
1.392536 22
1.398644 15
1.404751 22
1.410859 14
1.416966 18
1.423074 14
1.429182 13
1.435289 17
1.441397 20
1.447505 18
1.453612 19
1.459720 17
1.465827 23
1.471935 17
1.478043 17
1.484150 18
1.490258 19
1.496365 14
1.502473 20
1.508581 16
1.514688 14
1.520796 16
1.526903 18
1.533011 17
1.539119 21
1.545226 21
1.551334 13
1.557442 11
1.563549 18
1.569657 29
1.575764 15
1.581872 22
1.587980 14
1.594087 14
1.600195 15
1.606302 19
1.612410 26
1.618518 20
1.624625 22
1.630733 12
1.636841 16
1.642948 26
1.649056 22
1.655163 12
1.661271 12
1.667379 26
1.673486 22
1.679594 14
1.685701 15
1.691809 18
1.697917 16
1.704024 26
1.710132 20
1.716240 11
1.722347 13
1.728455 20
1.734562 15
1.740670 13
1.746778 21
1.752885 16
1.758993 12
1.765100 10
1.771208 18
1.777316 13
1.783423 11
1.789531 20
1.795639 19
1.801746 19
1.807854 19
1.813961 16
1.820069 15
1.826177 13
1.832284 24
